Addition title,ADA,DAD,,[ADA] (M),[DAD] (M),[DMSO] (M),,K,Value,,State,Known ppm value
Addition 1,1.53,1.703,,0.00053000,0.00096000,0.00000000,,K_DMSO,27,,ADA homodimer,2.0
Addition 2,1.528,1.698,,0.00052547,0.00095179,0.00012137,,K1,63,,DAD homodimer,4.3
Addition 3,1.5188,1.6928,,0.00052102,0.00094373,0.00024068,,K2,130,,,
Addition 4,1.4815,1.6605,,0.00049984,0.00090537,0.00080813,,K_ADA-DAD,?,,,
Addition 5,1.4466,1.6306,,0.00048031,0.00087000,0.00133125,,K_ADA2,1360,,,
Addition 6,1.4003,1.5863,,0.00047659,0.00086326,0.00241628,,K_DAD2,490,,,
Addition 7,1.365,1.549,,0.00047292,0.00085662,0.00348462,,,,,,
Addition 8,1.1716,1.3568,,0.00045541,0.00082489,0.00858889,,,,,,
Addition 9,1.0133,1.2017,,0.00043914,0.00079543,0.01332857,,,,,,
Addition 10,0.7625,0.9475,,0.00043603,0.00078979,0.02333333,,,,,,
Addition 11,0.565,0.756,,0.00043296,0.00078423,0.03319718,,,,,,
Addition 12,0.0921,0.3021,,0.00041823,0.00075755,0.08050340,,,,,,
Addition 13,-0.0735,0.1465,,0.00040447,0.00073263,0.12469737,,,,,,
Addition 14,-0.191,0.037,,0.00040183,0.00072784,0.21628758,,,,,,
Addition 15,-0.229,-0.005,,0.00039922,0.00072312,0.30668831,,,,,,
Addition 16,-0.2416,-0.0346,,0.00038667,0.00070038,0.74163522,,,,,,
Addition 17,-0.2336,-0.0436,,0.00037488,0.00067902,1.15006098,,,,,,
